Yes
(1,1)
(2,1)
(3,1)
(3,2)
(3,3)
(3,4)
(3,5)
(3,6)
(3,7)
(3,8)
(3,9)
(3,10)
(3,11)
(3,12)
(3,13)
(3,14)
(2,14)
(1,14)
(1,15)
(1,16)
(1,17)
(1,18)
(1,19)
(1,20)
(1,21)
(1,22)
(1,23)
(1,24)
(1,25)
(1,26)
(1,27)
(1,28)
(1,29)
(1,30)
(1,31)
(1,32)
(1,33)
(1,34)
(1,35)
(1,36)
(1,37)
(1,38)
(1,39)
(1,40)
(1,41)
(1,42)
(1,43)
(1,44)
(1,45)
(1,46)
(1,47)
(1,48)
(1,49)
(2,49)
(3,49)
(4,49)
(5,49)
(6,49)
(7,49)
(8,49)
(9,49)
(10,49)
(10,48)
(10,47)
(10,46)
(10,45)
(10,44)
(10,43)
(11,43)
(12,43)
(13,43)
(14,43)
(15,43)
(16,43)
(17,43)
(18,43)
(18,42)
(18,41)
(18,40)
(18,39)
(18,38)
(18,37)
(18,36)
(18,35)
(18,34)
(18,33)
(18,32)
(18,31)
(18,30)
(18,29)
(18,28)
(19,28)
(20,28)
(21,28)
(22,28)
(22,27)
(22,26)
(22,25)
(22,24)
(22,23)
(22,22)
(22,21)
(22,20)
(22,19)
(22,18)
(22,17)
(22,16)
(22,15)
(22,14)
(22,13)
(22,12)
(23,12)
(23,11)
(23,10)
(23,9)
(23,8)
(23,7)
(23,6)
(23,5)
(23,4)
(23,3)
(23,2)
(23,1)
(24,1)
(25,1)
(26,1)
(27,1)
(27,2)
(27,3)
(27,4)
(27,5)
(27,6)
(27,7)
(27,8)
(27,9)
(27,10)
(27,11)
(27,12)
(27,13)
(27,14)
(27,15)
(27,16)
(27,17)
(27,18)
(27,19)
(27,20)
(27,21)
(27,22)
(27,23)
(27,24)
(27,25)
(27,26)
(27,27)
(27,28)
(27,29)
(28,29)
(29,29)
(30,29)
(31,29)
(32,29)
(33,29)
(33,28)
(33,27)
(33,26)
(34,26)
(35,26)
(36,26)
(37,26)
(38,26)
(39,26)
(40,26)
(40,27)
(40,28)
(40,29)
(41,29)
(42,29)
(42,30)
(42,31)
(43,31)
(44,31)
(45,31)
(45,32)
(45,33)
(45,34)
(46,34)
(47,34)
(47,33)
(47,32)
(48,32)
(49,32)
(49,33)
(49,34)
(49,35)
(49,36)
(49,37)
(49,38)
(48,38)
(48,39)
(48,40)
(48,41)
(48,42)
(49,42)
(50,42)
(50,43)
(50,44)
(49,44)
(48,44)
(48,45)
(48,46)
(48,47)
(48,48)
(48,49)
(49,49)
(50,49)
(50,50)
